ชื่อร้าน,ชื่อสินค้า,ราคา,รูปภาพ,หมวดหมู่
decalogo,"Hisense 50AE7000F, Smart TV LED Ultra HD 4K 50"", HDR 10+, Dolby DTS, con Alexa","THB15,583.37",https://i.ebayimg.com/images/g/JXsAAOSwGuViUwPT/s-l300.jpg,['TVs']
unispectra.ltd,"7"" - 24"" Digital TV 12v 240v for Motorhome Caravan Boat DVB-T2 Freeview PVR",THB395.32,https://i.ebayimg.com/images/g/V0oAAOSwapdbveOc/s-l300.jpg,['TVs']
decalogo,"Hisense 55AE7000F - Smart TV LED Ultra HD 4K, HDR 10+, Dolby DTS, con Alexa","THB17,036.37",https://i.ebayimg.com/images/g/XbsAAOSw2m1iUwSW/s-l300.jpg,['TVs']
manaposhop,"LOGIK L24HE21 24"" HD Ready LED TV","THB3,957.14",https://i.ebayimg.com/images/g/ZfEAAOSwfqJgzpT-/s-l300.jpg,['TVs']
buyitdirectdiscounts,Telefunken 12000 BTU easy-fit DC Inverter Wall Split Air Conditioner  TF-12000CH,"THB16,708.46",https://i.ebayimg.com/images/g/qewAAOSwGQJg8enY/s-l300.jpg,['Central Air Conditioners']
mhstarukltd,HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,"THB10,553.10",https://i.ebayimg.com/images/g/3UEAAOSwQB5iPn2c/s-l300.jpg,['Portable Air Conditioners']
jimegal25,"12,000 BTU DUCTLESS AIR CONDITIONER HEAT PUMP, MINI SPLIT 220V 1 TON WITH KIT","THB23,258.17",https://i.ebayimg.com/images/g/pu4AAOSwZ3teHf0A/s-l300.jpg,['Central Air Conditioners']
budgetairconditioningdotbiz,"DAIKIN AIR CONDITIONER, HEAT, COOLING 10.8 KW INCLUDES INSTALLATION, INVERTER","THB98,939.48",https://i.ebayimg.com/images/g/034AAMXQRPRTIx9T/s-l300.jpg,['Central Air Conditioners']
bq_shop,"Apple iPhone 13 Pro 6.1"" A2639 REAL Dual Sim 128GB Phone By FedEx","THB47,919.57",https://i.ebayimg.com/images/g/KLMAAOSwpbFhQtkr/s-l300.jpg,['Cell Phones & Smartphones']
globaltone,"Huawei P50 Pro Dual SIM 12GB /512GB 6.6"" HarmonyOS 50MP Leica Phone By FedEx","THB57,458.77",https://i.ebayimg.com/images/g/z54AAOSwz59hm2z9/s-l300.jpg,['Cell Phones & Smartphones']
besttool2019,2022 Black M3Pro 5G Unlocked Smartphone 12GB+512GB Android 10.0 Dual SIM 6800mAh,"THB2,684.80",https://i.ebayimg.com/images/g/xw4AAOSw3xViBGwL/s-l300.jpg,['Cell Phones & Smartphones']
cellularprofessor,"Apple iPad 5th Gen 9.7"" 32GB 128GB Gray Gold Silver WiFi or Cellular - Good","THB5,055.79",https://i.ebayimg.com/images/g/U5EAAOSwgz9iOJBM/s-l300.jpg,['Tablets & eBook Readers']
eolonline,Microsoft Surface Pro 4 Tablet Core i5 6th Gen 2.4GHz 128GB SSD Windows 10,"THB6,595.97",https://i.ebayimg.com/images/g/UOsAAOSwTwJh5sYr/s-l300.jpg,['Tablets & eBook Readers']
creative2019-uk,"2022 Android 11 Pad 8.1"" Tablet PC Triple Cameras 128GB ROM 8GB RAM Double SIM","THB1,978.35",https://i.ebayimg.com/images/g/me0AAOSw8IFh34p1/s-l300.jpg,['Tablets & eBook Readers']
wise-deals,Samsung Galaxy Tab S7 / S7+ (2020) 128-512GB Wi-Fi Tablet T870/T970 | MINT 10/10,"THB10,919.88",https://i.ebayimg.com/images/g/ueIAAOSw1uNhgVoz/s-l300.png,['Tablets & eBook Readers']
eazytrade84,"Apple iPad Air 2nd 16 32 64 128GB, WiFi, Cellular Unlocked, Gray Silver Gold","THB4,039.84",https://i.ebayimg.com/images/g/aQIAAOSwaeJiNm0A/s-l300.jpg,['Tablets & eBook Readers']
aaa_pcs,Dell Latitude Business Light Gaming Laptop Win 10 Intel Core i5 16GB RAM 256 SSD,"THB13,448.95",https://i.ebayimg.com/images/g/G2MAAOSwdU5iUZvJ/s-l300.png,['PC Laptops & Netbooks']
upward-electronics,Apple MacBook Pro (2012) i5 4GB RAM 500GB SSD Silver Good Condition,"THB5,897.12",https://i.ebayimg.com/images/g/9pUAAOSwDhRh-ppd/s-l300.jpg,['Apple Laptops']
discountcomputerdepot,"HP Laptop ProBook 4430s 14"" Computer Celeron 4GB Ram 500GB WiFi HDMI Windows 10","THB5,485.22",https://i.ebayimg.com/images/g/xvMAAOSwbdpiMgXN/s-l300.jpg,['PC Laptops & Netbooks']
jelibean-inc,Was £1603 - Now only £799 - HP i7 Laptop 2TB (2000GB) SSD 16GB RAM Touch Screen,"THB35,134.51",https://i.ebayimg.com/images/g/f7oAAOSw5dhbs5te/s-l300.png,['PC Laptops & Netbooks']
tekshop,"ASUS ZenBook 15.6"" Laptop FHD i7-10510U 16GB 512GB Royal Blue UX534FAC-A8148T","THB30,780.73",https://i.ebayimg.com/images/g/K64AAOSwEM1hw0vM/s-l300.jpg,['PC Laptops & Netbooks']
endeardistributors,NEW Apple AirPods Pro - Noise-Cancelling - Bluetooth Wireless Headphones,"THB6,404.09",https://i.ebayimg.com/images/g/hJgAAOSwuAlhlCGW/s-l300.jpg,['Headphones']
pro-distributing,"Microsoft Surface Headphones 2 Noise Cancellation, Bluetooth Wireless Light Gray","THB6,707.79",https://i.ebayimg.com/images/g/ohcAAOSwLjtiUxvp/s-l300.jpg,['Headphones']
ig_deals,Deci-Diamond Bamboo Speaker Total Wireless Digital Bluetooth Speaker,"THB3,370.41",https://i.ebayimg.com/images/g/N2MAAOSwjXtfsTAu/s-l300.jpg,['Audio Docks & Mini Speakers']
sandissa-67,JBL Boombox Portable Wireless Bluetooth Outdoor Stereo Speaker - Black,"THB5,258.03",https://i.ebayimg.com/images/g/p04AAOSwi~1iCRAE/s-l300.jpg,['Portable Stereos & Boomboxes']
service_company_srl,"Xiaomi Mi Bluetooth Speaker 16W Black, Altoparlante Bluetooth portatile Xiaomi c","THB1,307.70",https://i.ebayimg.com/images/g/nvEAAOSwxxpiOH15/s-l300.jpg,['Portable Stereos & Boomboxes']
alldayzip,Apple Watch - Series 7 - GPS - 41mm Alum. Case - All Colors - Factory Sealed!,"THB12,134.70",https://i.ebayimg.com/images/g/21MAAOSwV~xhivp7/s-l300.png,['Smart Watches']
dealscaly,Samsung Galaxy Watch 4 44mm Aluminum Smartwatch SM-R870 Black - Mint,"THB5,055.79",https://i.ebayimg.com/images/g/r9IAAOSwwTph5bST/s-l300.jpg,['Smart Watches']
