ชื่อร้าน,ชื่อสินค้า,ราคา,รูปภาพ,หมวดหมู่
LazMall Mobiles,"[ผ่อน 0%] OPPO A16 (4GB+64GB) โทรศัพท์หน้าจอ 6.52"" HD+ ถนอมสายตา แบตฯอึด 5,000 mAh กล้องหลัง 3 ตัว คมชัดสูงสุด 13 MP ประกันศูนย์ 1 ปี","฿5,183.00",https://lzd-img-global.slatic.net/g/p/98060881f23737160b7106301f158937.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'Smartphones']"
OA Telecom,Redmi Note 11 (6+128GB) หน้าจอ 6.43 นิ้ว AMOLED Full HD+ พร้อม Android 11 แบต5000mAh ชาร์จไว33W ประกันศูนย์ไทย 15 เดือน ประกันร้าน 7 วัน เคลมใหม่ได้เลย,"฿6,699.00",https://lzd-img-global.slatic.net/g/p/47f2fc412f3d757d1bf6bde7f3cad5c2.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'Smartphones']"
OA Telecom,realme C35 4+64 แบต 5000 mAh กล้อง 50MP Ai 3 Lens ประกันศูนย์ไทย 1 ปี ขนส่ง รับ-ส่ง ซ่อมถึงบ้าน,"฿5,550.00",https://lzd-img-global.slatic.net/g/p/9021f9a4ca9aa7969fa26c3d0f320293.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'Smartphones']"
Singto Mobile,Samsung Galaxy A03  ***เครื่องแท้ รับประกันศูนย์ 1 ปี***,"฿3,440.00",https://lzd-img-global.slatic.net/g/p/a8f85f625cb488d8609e9be40d54a545.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'Smartphones']"
simshop 1602485268,Vivo Y31 เต็มร้าน Netcom 4G รับประกัน 1 ปี จอ 4.7 นิ้ว สมาทโฟนนักเรียน แถมฟรี เคสซิลิโคนใสและฟิล์มกระจกนิรภัย,"฿1,095.00",https://lzd-img-global.slatic.net/g/p/0c0e139a9910cfd064e001f7ce4c8341.png_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'Smartphones']"
Gadgetdoor,"พร้อมส่งจากไทย รับประกัน1ปี ❗ Alldocube iPlay 40H แท็บเล็ต 8GB RAM 128GB ROM Android 11 2000X1200 FHD หน้าจอ 10.4"" Unisoc T618แบบ Dual 4G LTE Dual-band Wi-Fi แบต 6200mAh","฿6,298.00",https://lzd-img-global.slatic.net/g/p/b006b5c8ce89940d388c34fc00acc55f.png_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'แท็บเล็ต']"
Advice Online,"Tablet 7'' (WIFI,32GB) LENOVO TAB-M7 (TB-7306F) Iron Gray","฿2,565.00",https://lzd-img-global.slatic.net/g/p/1852f6852f5e7adda567dd349c8b3644.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'แท็บเล็ต']"
Mocare Mobile&Gadget,ศูนย์ไทยพร้อมส่ง  Xiaomi Pad 5 Mi Pad 5  หน้าจอ11นิ้วWQHD+ 120Hz  Snapdragon 860  แบตเตอรี่8720mAh  รับประกันศูนย์ 15 เดือน,"฿10,781.00",https://lzd-img-global.slatic.net/g/p/40df16b1f08911335b87e95125d64fb7.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'แท็บเล็ต']"
Mobilestation,Samsung Galaxy Tab S6 Lite Wifi / LTE เครื่องศูนย์ไทย ประกันศูนย์ ทั่วประเทศ,"฿9,270.00",https://lzd-img-global.slatic.net/g/p/b8ee3751e7bdcca2677cc793be5344ee.jpg_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'แท็บเล็ต']"
BlackviewTH,แถมฟรี!!เคส รับประกันของแท้100% tablet Tab 8 แท็บเล็ต สามารถใช้โทรเข้า-ออกได้ 4GB RAM  64GB ROM  Android10.0 แบตเตอรี่ หน้าจอ 10.1 นิ้ว  6580mAh ใส่ได้สองซิม Blackview,"฿4,439.00",https://lzd-img-global.slatic.net/g/p/6bb2becf30c3f9d453a26b6d08c1d290.png_720x720q80.jpg_.webp,"['โทรศัพท์มือถือและแท็บเล็ต', 'แท็บเล็ต']"
