ชื่อร้าน,ชื่อสินค้า,ราคา,รูปภาพ,หมวดหมู่
OTOP Chiangrai,PREYA ชามะลิเกรด A 200 กรัม จำนวน 5 ห่อ ชาคุณภาพดีจากดอยแม่สลอง,650 บาท,"https://res.weloveshopping.com/943254/w_450,h_450,c_thumb/3b4c1b50217229328285c23d7a96a2fb/img_6981.jpg",['เครื่องดื่ม']
OTOP Chiangrai,PREYA ชามะลิเกรด A 200 กรัม 2 ห่อ ชาคุณภาพดีจากดอยแม่สลอง,300 บาท,"https://res.weloveshopping.com/943254/w_450,h_450,c_thumb/210a6a4ab53b66cb63dcbb13124524a7/img_7986.jpg",['เครื่องดื่ม']
กาแฟเขาทะลุ OTOP สำนักงานใหญ่,OTOPกาแฟเขาทะลุ Instant (กาแฟเกล็ด),160 บาท,"https://res.weloveshopping.com/950769/w_450,h_450,c_thumb/f1f5c2b6cb95098fb9b30d0dbfb7850e/68กลุ่มเกษตรกรทำสวนเขาทะลุ024094.jpg",['เครื่องดื่ม']
MDSHOP1505,กาแฟพี่ยักษ์ กาแฟเพื่อสุขภาพ PEYUK 29 in 1 ลดอาการปวดข้อเข่า,490 บาท,"https://res.weloveshopping.com/954887/w_450,h_450,c_thumb/b079c9e6cf83434513b4060dd242b932/790607.jpg",['กาแฟ ชา']
หจก ออฟฟิสโปรแอนด์แฟคตอรี่สเต,เครื่องดื่มเกลือแร่ สปอนเซอร์ (SPONSOR) (250 มล.) 1ลัง 24ขวด,295 บาท,"https://res.weloveshopping.com/916881/w_450,h_450,c_thumb/4215f9d9714c38ef0a31af4fc19d2594/sponser.jpg",['เครื่องดื่มชูกำลัง เครื่องดื่มเกลือแร่']
Pro And Best,กาแฟ แม็กซิม (MAXIM) โกลด์ เบลนด์ (ทอง) ถุงเติม 135 กรัม,340 บาท,"https://res.weloveshopping.com/926967/w_450,h_450,c_thumb/612b9f356f73ed4128750e8ce81ce94d/maxim_gold_135g_tag_02.jpg",['กาแฟ ชา']
J-Lek,J-Lek (เจ๊เล็ก) น้ำจิ้มอาหารย่าง หรือน้ำจิ้มแจ่ว ขวดแก้ว ขนาด 350 กรัม แพ็ค 3 ขว,126 บาท,"https://res.weloveshopping.com/948150/w_450,h_450,c_thumb/a51fb362e3d3f153fc7044a159049163/น้ำจิ้มแจ่ว.jpg",['ซอสปรุงรส เครื่องปรุงต่างๆ']
a-volkcollection,pre order กล่องพลาสติก กดขนมปัง ทำเเซนวิช แบบปิดขอบ หลายลาย,69 บาท,"https://res.weloveshopping.com/912459/w_450,h_450,c_thumb/7193a9b69dfbddbbc92712738199c8fc/0.jpg",['เบเกอรี่ ขนมหวาน ของกินเล่น']
TMASIANFOOD,ปลาทูหอม ขนาดใหญ่ (L) ตราเชฟเฮ้าส์,190 บาท,"https://res.weloveshopping.com/954412/w_450,h_450,c_thumb/8c5a382bb87071ac7605a8a42418be0b/artboard1-100.jpg",['อาหารสดและแช่แข็ง']
J-Lek,J-Lek (เจ๊เล็ก) ซอสปลาสามรส 550 กรัม,75 บาท,"https://res.weloveshopping.com/948150/w_450,h_450,c_thumb/7c5aa6c1722d44b2c7772b25031cb176/ซอสปลาสามรส.jpg",['ซอสปรุงรส เครื่องปรุงต่างๆ']
KSNSHOP,"บะหมี่กึ่งสำเร็จรูป ""มาม่า"" รสต้มยำกุ้ง 55 กรัม (แพ็ค 10 ซอง)",56 บาท,"https://res.weloveshopping.com/926901/w_450,h_450,c_thumb/178bd362fc06419daa3ea058bc057dc1/71155.jpg",['อาหารกระป๋อง อาหารแห้ง']
KSNSHOP,โอริโอ คุกกี้แซนวิสรสช็อคโกแลตสอดไส้ครีม กลิ่นวานิลลา 28.5 กรัม (แพ็ค 12),49 บาท,"https://res.weloveshopping.com/926901/w_450,h_450,c_thumb/eaa04e7ae7ab553b13350fce840a8299/68731.jpg",['เบเกอรี่ ขนมหวาน ของกินเล่น']
Hercloset Shop,เสื้อเชิ้ตลายโซ่ชิโน,590 บาท,"https://res.weloveshopping.com/925221/w_450,h_450,c_thumb/b2500131e109ef6f46723441e1080c25/8068bc41-cab1-48a0-bdb3-7055bd545960.jpg",['เสื้อเชิ้ตผู้หญิง']
Hercloset Shop,เสื้อเชิ้ตลายโซ่ชิโน,590 บาท,"https://res.weloveshopping.com/925221/w_450,h_450,c_thumb/b2500131e109ef6f46723441e1080c25/8068bc41-cab1-48a0-bdb3-7055bd545960.jpg",['เสื้อเชิ้ตผู้หญิง']
IIOZO SHOPPING,ชุดเสื้อกระโปรง พร็อพลาย KR004,359 บาท,"https://res.weloveshopping.com/919012/w_450,h_450,c_thumb/3613b737d552b29efeff6f4e875017dc/11.jpg",['เสื้อยืดผู้หญิง']
Dress Up House,dressuphouse รหัส 1499wh เสื้อยืดคอกลม แขนยาว แต่งกุหลาบรอบคอ,290 บาท,"https://res.weloveshopping.com/900722/w_450,h_450,c_thumb/9f4026fe7e45d44c68821d051bbc599f/1499wh-4.jpg",['เสื้อยืดผู้หญิง']
Dress Up House,ลดราคา รหัส D893wh เสื้อแฟชั่น ผ้ายืด คอกลม แขนสั้น สีขาว,280 บาท,"https://res.weloveshopping.com/900722/w_450,h_450,c_thumb/707efd312f8418c83f86a4ed973dd880/893wh.jpg",['เสื้อยืดผู้หญิง']
